SiteYr,Site,Habitat,Year,Yr,BeesReleased,BeesCollected,BoxesCollected,Longitude,Latitude,Elevation_m,boco_aspec,trasp,slope,HLI,nTotProvised,nOligGrowth,nTstanCells,nParasite,nOligPupae,nOligLarve,nOligF,nOligM,avgOligMass_mg,avgOligFMass_mg,avgOligMMass_mg,avgOligLarvMass_mg,oligRatio,tstanRatio,monoRatio,oligFRatio,Ann_ppt_mm,Ann_tmin_C,Ann_tmean_C,Ann_tmax_C,bi_ppt_mm,bi_tmin_C,bi_tmean_C,bi_tmax_C,qrt_ppt_mm,qrt_tmin_C,qrt_tmean_C,qrt_tmax_C,FieldDay,tmean_C,DD_added,DD_accumulated,stemdiv,stemrich,stemabun,bloomdiv,bloomrich,bloomabun,meanTreeCC,TotMean_BA,JUSC2_L,JUSC2_D,PICO_D,PICO_L,PIPO_D,PIPO_L,POTR5_L,PSME_D,PSME_L,Dead_BA_ha,Live_BA_ha,EVT_abund,EVT_H,EVT_rich,EVT_J,Barren,Coniferous_Forest,Crops,Deciduous_Forest,Rangeland,WUI
C03-20,C03,Control,2020,20,5/12/2020,7/2/2020,7/26/2020,-105.2946,40.1656,1911,140.4279938,95.4279938,11.5853004,-2.28641027930654,21,15,0,5,0,10,0,0,0,0,0,25.51,0.714285714285714,0,0.333333333333333,0,501.26,2.5,9.6,16.8,39.536,-1.46,5.26,11.94,38.2766666666667,11.2,18.7666666666667,26.3,52,20.1,23.5,1052,1.71665856904883,7,21.1666666666667,NA,NA,NA,0.405214215686275,27.557011373661,0,0,0,0,0,27.557011373661,0,0,0,0,27.557011373661,874,0.206192050633232,2,0.29747224891929,0,0.947368421052632,0,0,0.0526315789473684,0
C21-20,C21,Control,2020,20,5/13/2020,7/9/2020,7/27/2020,-105.3122,39.9616,2237,19.9701996,25.0298004,17.9036999,-1.22175342769621,31,14,4,0,2,12,0,2,27.15,0,27.15,40.4,0.451612903225806,0.129032258064516,0,0,580.05,2,8.3,14.7,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,58,22.3,26.8,1131.8,1.87981594065926,8,16.6,NA,NA,NA,0.650310294117647,13.9993814645309,0,0,0,0,19.3510734929637,15.5032371950671,0,0,7.3979634005461,19.3510734929637,13.7020652407291,860,0.0684636715974186,2,0.0987721994946464,0,0.987209302325581,0,0.0127906976744186,0,0
H03-20,H03,Burned,2020,20,5/12/2020,7/26/2020,7/26/2020,-105.3962,40.063,2540,145.4519958,100.4519958,22.4778004,-0.0351735450790702,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,561.37,-0.6,5.9,12.4,49.658,-4.76,1.3,7.36,36.3066666666667,6.6,14.1666666666667,21.7666666666667,76,16.2,15.8,1337.3,1.46932939993699,12,97.5238095238095,NA,NA,NA,0.0240470588235294,21.217443726108,0,0,0,0,0,0,0,21.217443726108,0,21.217443726108,0,862,0.641740865291087,2,0.925836363891244,0,0.658932714617169,0,0,0.341067285382831,0
H18-20,H18,Burned,2020,20,5/13/2020,7/27/2020,7/27/2020,-105.3056,39.9596,2237,312.302002,92.697998,16.9417,-0.355335979618748,134,56,45,0,51,5,14,37,28.1941176470588,46.3928571428571,21.3081081081081,40.72,0.417910447761194,0.335820895522388,0,0.274509803921569,580.05,2,8.3,14.7,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,76,17.8,18.7,1565.6,0.766838231580212,5,25,NA,NA,NA,0.0568387254901961,19.7387754133285,0,0,0,0,27.3098084478051,0,0,0.811192827137156,0,19.7387754133285,0,865,0.286604911179752,2,0.413483484053449,0,0.916763005780347,0,0,0.0832369942196532,0
T02-20,T02,Treated,2020,20,5/12/2020,7/2/2020,7/26/2020,-105.3042,40.1509,1960,128.0579987,83.0579987,19.1590004,-2.53618255120485,74,55,4,4,1,50,0,1,21.1,0,21.1,0,0.743243243243243,0.0540540540540541,0.0727272727272727,0,512.52,2.9,9.7,16.5,39.536,-1.46,5.26,11.94,38.2766666666667,11.2,18.7666666666667,26.3,52,20.1,23.5,1052,1.52470739303014,6,13,NA,NA,NA,0.395895588235294,31.7321621393519,0,0,0,0,0,31.7321621393519,0,0,0,0,31.7321621393519,869,0.227969118652412,3,0.207506434256973,0,0.948216340621404,0,0,0.0425776754890679,0.00920598388952819
T05-20,T05,Treated,2020,20,5/12/2020,7/1/2020,7/26/2020,-105.2939,40.1785,1981,125.137001,80.137001,9.3966599,-0.241921124025284,39,26,6,0,0,26,0,0,0,0,0,32.4230769230769,0.666666666666667,0.153846153846154,0,0,496.46,2.6,9.5,16.4,39.536,-1.46,5.26,11.94,38.2766666666667,11.2,18.7666666666667,26.3,64,26.5,29.2,1380.6,2.11689696788357,16,88.8333333333333,NA,NA,NA,0.333712254901961,20.3820286032346,0,0,0,0,17.6936489933087,26.6549143597283,0,0,0,17.6936489933087,26.6549143597283,869,0.0354144005140979,2,0.0510921799977446,0,0.994246260069045,0,0,0.00575373993095512,0
C05-20,C05,Control,2020,20,5/12/2020,7/3/2020,7/26/2020,-105.4131,40.0717,2349,260.6629944,144.3370056,26.9603996,-2.1195640531946,25,23,0,0,0,23,0,0,0,0,0,38.095652173913,0.92,0,0,0,565.54,0.6,7.2,13.8,49.658,-4.76,1.3,7.36,36.3066666666667,6.6,14.1666666666667,21.7666666666667,53,18.6,22.1,835.2,1.4550604552715,6,25,NA,NA,NA,0.417477941176471,8.0346879437093,0,0,0,13.6867827977316,0,6.80806090272941,0,3.05742963663096,10.2977956668767,3.05742963663096,8.20059655394525,866,0.333610026970932,3,0.30366493294498,0,0.912240184757506,0,0.01270207852194,0,0.0750577367205543
C11-20,C11,Control,2020,20,5/13/2020,7/27/2020,7/27/2020,-105.3091,39.9709,2252,261.3299866,143.6700134,9.3855495,-0.493032293302539,50,22,9,0,16,6,2,14,24.08125,39.1,21.9357142857143,23.0333333333333,0.44,0.18,0,0.125,587.05,1.9,8.2,14.6,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,76,17.8,18.7,1565.6,2.45265946708269,14,63.0833333333333,NA,NA,NA,0.370805392156863,10.3839147277135,0,0,0,0,0,12.0507191687671,0,0,10.1224552075483,0,10.3839147277135,856,0,1,0,0,1,0,0,0,0
H06-20,H06,Burned,2020,20,5/12/2020,7/7/2020,7/26/2020,-105.4077,40.0491,2439,265.7739868,139.2260132,22.7681999,-0.62965554572226,35,20,0,0,1,19,0,1,19.8,0,19.8,31.7421052631579,0.571428571428571,0,0,0,554.49,0.1,6.7,13.2,44.924,-3.96,2.24,8.42,35.66,7.7,15.1333333333333,22.6,57,21.2,23.9,970.5,1.73832238437444,10,95.8,NA,NA,NA,0.00510252100840336,6.39530715886018,0,1.21958412098299,0,0,10.9104221312049,0,0,3.86242775077265,0,6.39530715886018,0,847,0.766730287573602,4,0.553078991790902,0,0.350649350649351,0,0.0188902007083825,0.624557260920897,0.00590318772136954
H09-20,H09,Burned,2020,20,5/13/2020,7/8/2020,7/27/2020,-105.4027,40.0313,2287,53.5004005,8.50040050000001,16.6966991,-1.47748273587826,48,35,4,0,2,33,0,2,18.9,0,18.9,35.130303030303,0.729166666666667,0.0833333333333333,0,0,549.87,1,7.7,14.4,44.924,-3.96,2.24,8.42,35.66,7.7,15.1333333333333,22.6,57,20.7,24.8,983.9,1.81533984854993,11,169.75,NA,NA,NA,0.0374799019607843,11.5033442599746,0,0,11.5033442599746,0,0,0,0,0,0,11.5033442599746,0,853,0.870885445896014,4,0.628211056988277,0,0.540445486518171,0.0316529894490035,0.0152403282532239,0.412661195779601,0
H15-20,H15,Burned,2020,20,5/13/2020,7/10/2020,7/27/2020,-105.3008,39.9622,2399,235.201004,169.798996,18.0319996,-1.52309555922048,30,21,1,0,9,12,3,6,24.1222222222222,38,17.1833333333333,36.2083333333333,0.7,0.0333333333333333,0,0.333333333333333,586.24,0.5,7,13.5,49.74,-2.6,3.94,10.46,42.9,9.23333333333333,16.9666666666667,24.7,59,21.3,24.7,1156.5,2.52624320085183,19,182.528571428571,NA,NA,NA,0.0172549019607843,29.6697150143527,0,0,0,0,29.6697150143527,0,0,0,0,29.6697150143527,0,868,0.371996844492929,3,0.338606120038868,0,0.894009216589862,0,0.01036866359447,0.0956221198156682,0
T08-20,T08,Treated,2020,20,5/12/2020,7/3/2020,7/26/2020,-105.4005,40.0676,2540,6.5561099,38.4438901,9.9066401,-0.33154345876406,31,23,1,1,5,17,1,4,27.28,37.9,24.625,49.7117647058824,0.741935483870968,0.032258064516129,0.0434782608695652,0.2,561.37,-0.6,5.9,12.4,49.658,-4.76,1.3,7.36,36.3066666666667,6.6,14.1666666666667,21.7666666666667,64,21.4,24.4,1086.3,1.40008660790195,7,34,NA,NA,NA,0.314965196078431,20.4122246026745,0,0,0,0,11.9553544659735,37.5004049289365,0.951614387733669,20.0765227809284,16.9784742176013,15.0788807409562,26.7152673483416,860,0.464175264137467,4,0.334831675837224,0.00813953488372093,0.862790697674419,0,0,0.119767441860465,0.00930232558139535
T106-20,T106,Treated,2020,20,5/13/2020,7/27/2020,7/27/2020,-105.3628,40.0186,2066,196.4429932,151.4429932,9.4407797,-0.383781730916837,5,3,0,2,0,1,0,0,0,0,0,54.6,0.6,0,0.666666666666667,0,550.96,2.1,9,15.9,46.524,-2.76,3.84,10.46,38.4166666666667,9.46666666666667,17.0666666666667,24.6333333333333,76,17.7,18.4,1562.3,1.63128853949593,8,30.6,NA,NA,NA,0.425114705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863,0.274403482575645,4,0.197940271757272,0,0.942062572421784,0,0.0162224797219003,0.00695249130938586,0.0347624565469293
T98-20,T98,Treated,2020,20,5/13/2020,7/27/2020,7/27/2020,-105.3216,39.978,2320,159.0269928,114.0269928,4.44209,-1.03110844790715,103,82,8,0,55,27,16,39,30.5145454545455,46.2625,24.0538461538462,34.1,0.796116504854369,0.0776699029126214,0,0.290909090909091,578.12,1.3,7.7,14.1,46.864,-3.1,3.46,10,43.7566666666667,8.4,16.3333333333333,24.1666666666667,76,17.1,18.1,1527.8,2.15085580071945,19,159.833333333333,NA,NA,NA,0.280124019607843,0,0,0,0,0,0,0,0,0,0,0,0,862,0.23650266181938,3,0.215273999989661,0,0.945475638051044,0,0.00928074245939675,0.0452436194895592,0
T99-20,T99,Treated,2020,20,5/12/2020,7/7/2020,7/26/2020,-105.3396,40.0448,2032,166.473999,121.473999,10.6378002,-1.73081266446063,8,4,0,0,0,4,0,0,0,0,0,44.175,0.5,0,0,0,546.41,2.4,9.3,16.2,45.352,-1.66,4.88,11.48,38.99,11,18.2666666666667,25.6,57,25.1,27,1139.4,1.91562140098344,8,35.3333333333333,NA,NA,NA,0.572713235294118,3.12121632884079,0,0,0,0,0,3.12121632884079,0,0,0,0,3.12121632884079,857,0.531272652381643,3,0.483585208231855,0,0.842473745624271,0,0,0.110851808634772,0.0466744457409568
C101-21,C101,Control,2021,21,5/27/2021,7/1/2021,7/1/2021,-105.3202,40.0579,1884,324.4880066,80.5119934,32.2681999,-2.97242218622029,38,19,0,0,12,7,9,3,31.480555555,34.2518518511111,23.1666666666667,NA,0.5,0,0,0.75,552.55,2.7,9.8,17,67.976,-2.84,3.64,10.1,82.8866666666667,11.1,17.7666666666667,24.4333333333333,36,18.4,13.4,493.5,1.03279919035264,3,9.58333333333333,0.950714290710416,3,16.4833333333333,0.65489362745098,13.2715855829686,0,0,0,0,0,54.5807737696249,0,0,2.94428853630454,0,13.2715855829686,859,0.500725023534118,2,0.722393508301682,0,0.79976717112922,0,0,0,0.20023282887078
C104-21,C104,Control,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.3251,39.953,2137,121.2699966,76.2699966,17.8048992,-1.76289372609426,52,37,7,3,20,14,9,11,29.595,42.9555555555556,18.6636363636364,NA,0.711538461538462,0.134615384615385,0.0810810810810811,0.45,547.37,2.1,8.8,15.6,72.418,-3.72,2.62,8.94,89.3133333333333,9.2,16.2,23.1333333333333,36,13.1,8.1,424,0,0,0,NA,NA,NA,0.228991176470588,7.60011112367138,0,0,0,0,3.05383651377654,2.81205522017948,0,0,15.8583183079837,3.05383651377654,8.61039437031468,844,0.588471768200557,3,0.535650087178603,0,0.787914691943128,0,0.0225118483412322,0.18957345971564,0
C105-21,C105,Control,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.3513,40.0349,1941,310.1040039,94.8959961,22.2418003,-0.307046824428893,37,33,1,3,25,5,12,13,30.512,34.65,26.6923076923077,NA,0.891891891891892,0.027027027027027,0.0909090909090909,0.48,545.28,1.8,9.2,16.7,67.976,-2.84,3.64,10.1,82.8866666666667,11.1,17.7666666666667,24.4333333333333,36,15,10,490,1.86879663884152,7,9.86834532374101,1.83863212745803,7,24.70551558753,0.503035784313726,10.6144563729069,0,0,0,0,0,9.14857247953762,0,0,14.2791661063302,0,10.6144563729069,853,0,1,0,0,1,0,0,0,0
C107-21,C107,Control,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.3387,40.1089,2039,165.2429962,120.2429962,25.6718006,-2.55345532488628,64,57,4,0,45,12,30,15,33.7,38.0266666666667,25.0466666666667,NA,0.890625,0.0625,0,0.666666666666667,539.05,2.6,9.3,16,64.464,-3.5,2.7,8.88,72.0933333333333,9.53333333333333,16.4,23.3,36,14.5,9.5,438.7,1.39472060977441,5,8.10526315789474,1.53644581711991,5,20.0977443609023,0.339600980392157,25.1303969931114,0,0,0,0,0,25.1303969931114,0,0,0,0,25.1303969931114,869,0.454499789135384,3,0.413703536564653,0,0.87686996547756,0,0,0.046029919447641,0.0771001150747986
C108-21,C108,Control,2021,21,5/27/2021,7/1/2021,7/1/2021,-105.3134,40.0352,1914,242.0099945,162.9900055,23.7625008,-0.625314397826498,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,553.66,2.8,9.9,16.9,67.976,-2.84,3.64,10.1,82.8866666666667,11.1,17.7666666666667,24.4333333333333,36,18.4,13.4,493.5,1.09775535405675,3,3.09090909090909,1.07718167164228,3,4.74545454545455,0.532910364145658,10.9876209505396,0,0,0,0,0,10.9876209505396,0,0,0,0,10.9876209505396,865,0.397142239530168,3,0.361494444970791,0,0.897109826589595,0,0,0.0346820809248555,0.0682080924855491
C97-21,C97,Control,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.3155,39.9592,2139,281.1619873,123.8380127,17.0911999,-0.694830069131963,51,43,5,1,27,15,13,13,32.8,42.0923076923077,23.4384615384615,NA,0.843137254901961,0.0980392156862745,0.0232558139534884,0.481481481481481,570.18,2.2,8.8,15.5,72.418,-3.72,2.62,8.94,89.3133333333333,9.2,16.2,23.1333333333333,36,13.1,8.1,424,0.667164506666447,2,4.89010989010989,0.29036017329508,2,11.7912087912088,0.378077941176471,12.2375130874895,2.48378542937539,0,0,0,0,16.8431688702982,0,0,8.17427339717766,0,12.2375130874895,853,0.326184723880723,4,0.235292541778228,0,0.926143024618992,0.0164126611957796,0.0082063305978898,0.0492379835873388,0
H05-21,H05,Burned,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.4107,40.0589,2514,123.5970001,78.5970001,17.2658997,-1.93667281115855,4,4,0,0,4,0,3,0,27.525,33,0,NA,1,0,0,0.75,559.38,-0.5,6.1,12.6,68.604,-4.7,1.42,7.54,76.5666666666667,8.1,14.8666666666667,21.6666666666667,36,12.4,7.4,383,2.25747003783467,10,12.5323232323232,2.12560786891356,10,33.1434343434343,0.0722441176470588,21.81824699993,0,0,0,0,21.81824699993,0,0,0,0,21.81824699993,0,860,1.17234249483911,4,0.845666351763891,0,0.436046511627907,0,0.0348837209302326,0.316279069767442,0.212790697674419
H101-21,H101,Burned,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.3283,40.1097,1938,249.3670044,155.6329956,9.1887302,-0.522914173939458,39,25,2,2,21,2,2,19,22.8809523809524,30.4,22.0894736842105,NA,0.641025641025641,0.0512820512820513,0.08,0.0952380952380952,538.76,2.6,9.7,16.7,64.464,-3.5,2.7,8.88,72.0933333333333,9.53333333333333,16.4,23.3,36,14.5,9.5,438.7,1.63473149264687,7,29.2172949002217,1.45231215466435,7,107.511456023651,0.0196887254901961,19.2429097366655,0,0,0,0,19.2429097366655,0,0,0,0,19.2429097366655,0,853,0.637193388537237,3,0.579998417193868,0,0.791324736225088,0,0,0.148886283704572,0.05978898007034
H103-21,H103,Burned,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.3806,40.0652,2479,172.9620056,127.9620056,25.5312996,-2.22271033829358,25,15,3,0,14,1,7,7,32.5571428571429,36.5571428571429,28.5571428571429,NA,0.6,0.12,0,0.5,559.96,-0.1,6.4,12.8,66.662,-4.16,1.98,8.1,71.0233333333333,8.73333333333333,15.5,22.2666666666667,36,13.2,8.2,405.3,1.56250050263778,5,9.66875,1.50024982404829,5,13.7,0.0167524509803922,37.771174669644,0,0,0,0,37.771174669644,0,0,0,0,37.771174669644,0,855,0.516194969037334,2,0.744711921961994,0,0.211695906432749,0,0,0.788304093567252,0
H12-21,H12,Burned,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.3826,40.0319,2287,310.677002,94.322998,12.0727997,-2.01882348953447,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,554.46,1.2,7.9,14.5,68.318,-3.46,2.86,9.18,77.9,10.1,16.7333333333333,23.4333333333333,36,13.8,8.8,452.2,1.69922159260746,6,14.7853054183329,1.68630060159707,6,25.5178781463185,0.0204220588235294,20.2075603192607,0,0,0,0,24.4166387243576,0,0,13.8939427116152,0,20.2075603192607,0,848,0.756150037908108,3,0.68827742571933,0,0.520047169811321,0,0,0.465801886792453,0.0141509433962264
H13-21,H13,Burned,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.3053,40.0162,1822,299.6679993,105.3320007,17.6105995,-1.00192957915775,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,552.94,2.4,9.9,17.4,71.214,-2.48,4.22,10.9,89.3933333333333,11,18.3333333333333,25.6333333333333,36,16.1,11.1,512.1,1.66856657605426,8,51.3126311541566,1.31056255725746,7,223.089682539683,0.0653455882352941,9.69925088216761,0,0,0,0,9.69925088216761,0,0,0,0,9.69925088216761,0,856,0.780884317610599,4,0.563288966262387,0,0.741822429906542,0,0.0105140186915888,0.150700934579439,0.0969626168224299
T101-21,T101,Treated,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.31,40.024,1810,7.77421,37.22579,23.6840992,-0.490866626924145,79,57,1,12,44,1,13,31,30.9659090909091,42.5615384615385,26.1032258064516,NA,0.721518987341772,0.0126582278481013,0.210526315789474,0.295454545454545,556.68,2.5,10,17.5,67.116,-2.1,4.48,11.04,83.1866666666667,11.5333333333333,18.8333333333333,26.1333333333333,36,16.6,11.6,525.7,1.55160597857797,5,6.763125,1.34441328746467,5,15.2858333333333,0.341916666666667,0,0,0,0,0,0,0,0,0,0,0,0,857,0.626727295200331,4,0.452088180387635,0,0.814469078179697,0,0.0058343057176196,0.0723453908984831,0.107351225204201
T103-21,T103,Treated,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.3361,40.0177,1901,149.5310059,104.5310059,12.9679003,-2.52458017767975,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,544.27,1.9,9.5,17,70.41,-3.04,3.48,10,86.4966666666667,10.7666666666667,17.6333333333333,24.4666666666667,36,14.9,9.9,484.7,0.839078642918465,3,10.125,0.880428949744835,3,12.25,0.162520448179272,27.8769310925648,0,0,0,0,0,27.8769310925648,0,0,0,0,27.8769310925648,871,0.35174011982863,2,0.507453726558454,0,0.887485648679678,0,0,0.112514351320321,0
T13-21,T13,Treated,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.2752,39.9614,1883,141.6860046,96.6860046,8.7186003,-0.19439449683716,5,2,1,0,2,0,0,2,25.5,0,25.5,NA,0.4,0.2,0,0,544.91,2.6,9.9,17.2,75.242,-3.38,2.92,9.22,95.7233333333333,9.83333333333333,16.7333333333333,23.6666666666667,36,13.6,8.6,446.4,1.06095887687222,3,3.90909090909091,1.02951338679039,3,10.2727272727273,0.233964705882353,37.6272846111879,0,0,0,0,0,37.6272846111879,0,0,0,0,37.6272846111879,860,0.476309807359298,3,0.433555870685505,0,0.859302325581395,0,0,0.112790697674419,0.027906976744186
T96-21,T96,Treated,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.3267,39.965,2237,260.1149902,144.8850098,22.8295994,-0.271814431121889,25,5,1,1,3,1,2,1,28.4333333333333,32.35,20.6,NA,0.2,0.04,0.2,0.666666666666667,571.37,2,8.4,14.8,72.418,-3.72,2.62,8.94,89.3133333333333,9.2,16.2,23.1333333333333,36,13.1,8.1,424,1.26130426563713,4,22.387969924812,1.14469831748538,4,35.5518796992481,0.283546078431373,6.8715888000026,0,0,0,0,0,4.20358398468433,0,0,10.4289285537603,0,6.8715888000026,855,0.209538275619056,3,0.190729957948211,0,0.955555555555556,0,0,0.0140350877192982,0.0304093567251462
C05-21,C05,Control,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.4131,40.0717,2349,260.6629944,144.3370056,26.9603996,-2.1195640531946,15,3,0,0,2,1,2,0,40.2,40.2,0,NA,0.2,0,0,1,565.54,0.6,7.2,13.8,71.25,-5.3,0.64,6.6,77.0333333333333,7.03333333333333,13.9333333333333,20.8,36,11.3,6.3,347.4,0.476410518752054,2,10.9090909090909,0.358451006299273,2,21.5909090909091,0.417477941176471,8.0346879437093,0,0,0,13.6867827977316,0,6.80806090272941,0,3.05742963663096,10.2977956668767,3.05742963663096,8.20059655394525,862,0.362156000087184,3,0.329648597437627,0,0.90139211136891,0,0.0139211136890951,0,0.0846867749419954
C11-21,C11,Control,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.3091,39.9709,2252,261.3299866,143.6700134,9.3855495,-0.493032293302539,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,587.05,1.9,8.2,14.6,75.242,-3.38,2.92,9.22,95.7233333333333,9.83333333333333,16.7333333333333,23.6666666666667,36,13.6,8.6,446.4,0,1,1,0,1,2,0.370805392156863,10.3839147277135,0,0,0,0,0,12.0507191687671,0,0,10.1224552075483,0,10.3839147277135,855,0,1,0,0,1,0,0,0,0
H06-21,H06,Burned,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.4077,40.0491,2439,265.7739868,139.2260132,22.7681999,-0.62965554572226,36,20,2,2,18,0,12,6,38.9666666666667,45.475,25.95,NA,0.555555555555556,0.0555555555555556,0.1,0.666666666666667,554.49,0.1,6.7,13.2,68.604,-4.7,1.42,7.54,76.5666666666667,8.1,14.8666666666667,21.6666666666667,36,12.4,7.4,383,1.32725515748239,4,7.30731707317073,1.14950068675123,4,14.9670731707317,0.00510252100840336,6.39530715886018,0,1.21958412098299,0,0,10.9104221312049,0,0,3.86242775077265,0,6.39530715886018,0,852,0.777468908696779,4,0.560825269511098,0,0.363849765258216,0,0.0199530516431925,0.610328638497653,0.00586854460093897
H09-21,H09,Burned,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.4027,40.0313,2287,53.5004005,8.50040050000001,16.6966991,-1.47748273587826,57,36,2,0,34,2,15,19,38.9852941176471,51.8,28.8684210526316,NA,0.631578947368421,0.0350877192982456,0,0.441176470588235,549.87,1,7.7,14.4,68.604,-4.7,1.42,7.54,76.5666666666667,8.1,14.8666666666667,21.6666666666667,36,11.8,6.8,382.5,1.3481828218356,5,10.1666666666667,1.35794686674506,5,11.1666666666667,0.0374799019607843,11.5033442599746,0,0,11.5033442599746,0,0,0,0,0,0,11.5033442599746,0,854,0.872390833953526,4,0.629296964930869,0,0.533957845433255,0.031615925058548,0.0152224824355972,0.4192037470726,0
H15-21,H15,Burned,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.3008,39.9622,2399,235.201004,169.798996,18.0319996,-1.52309555922048,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,586.24,0.5,7,13.5,75.242,-3.38,2.92,9.22,95.7233333333333,9.83333333333333,16.7333333333333,23.6666666666667,36,13.6,8.6,446.4,1.59760349371176,6,20,1.67302961653818,6,17.421568627451,0.0172549019607843,29.6697150143527,0,0,0,0,29.6697150143527,0,0,0,0,29.6697150143527,0,867,0.372296601472598,3,0.338878970600217,0,0.893886966551326,0,0.0103806228373702,0.0957324106113033,0
T08-21,T08,Treated,2021,21,5/26/2021,6/30/2021,6/30/2021,-105.4005,40.0676,2540,6.5561099,38.4438901,9.9066401,-0.33154345876406,12,0,2,0,0,0,0,0,0,0,0,NA,0,0.166666666666667,0,0,561.37,-0.6,5.9,12.4,71.25,-5.3,0.64,6.6,77.0333333333333,7.03333333333333,13.9333333333333,20.8,36,11.3,6.3,347.4,0.691544330408523,2,2.65,0.545594573969184,2,8.5,0.314965196078431,20.4122246026745,0,0,0,0,11.9553544659735,37.5004049289365,0.951614387733669,20.0765227809284,16.9784742176013,15.0788807409562,26.7152673483416,859,0.464543715338296,4,0.335097457197347,0.00814901047729918,0.862630966239814,0,0,0.119906868451688,0.00931315483119907
T106-21,T106,Treated,2021,21,5/25/2021,6/29/2021,6/29/2021,-105.3628,40.0186,2066,196.4429932,151.4429932,9.4407797,-0.383781730916837,79,50,3,1,46,3,18,26,26.8431818181818,33.5611111111111,22.1923076923077,NA,0.632911392405063,0.0379746835443038,0.02,0.391304347826087,550.96,2.1,9,15.9,70.964,-3.68,2.8,9.26,80.7233333333333,9.83333333333333,16.6666666666667,23.5,36,13.8,8.8,449.3,1.31152383928364,4,5.24050632911392,1.20766426946868,4,14.6962025316456,0.425114705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,0.299585943760465,4,0.216105577691632,0,0.934579439252336,0,0.0175233644859813,0.00700934579439252,0.0408878504672897
T98-21,T98,Treated,2021,21,5/24/2021,6/28/2021,6/28/2021,-105.3216,39.978,2320,159.0269928,114.0269928,4.44209,-1.03110844790715,121,38,9,1,34,3,12,21,31.0727272727273,40.175,25.8714285714286,NA,0.31404958677686,0.0743801652892562,0.0263157894736842,0.352941176470588,578.12,1.3,7.7,14.1,72.418,-3.72,2.62,8.94,89.3133333333333,9.2,16.2,23.1333333333333,36,13.1,8.1,424,0.863628894648968,3,7.47619047619048,1.0875159673156,3,3.76190476190476,0.280124019607843,0,0,0,0,0,0,0,0,0,0,0,0,856,0.265159291777762,3,0.24135838868071,0,0.935747663551402,0,0.00934579439252336,0.0549065420560748,0
T99-21,T99,Treated,2021,21,5/27/2021,7/1/2021,7/1/2021,-105.3396,40.0448,2032,166.473999,121.473999,10.6378002,-1.73081266446063,47,34,6,0,22,12,10,11,30.7409090909091,37.67,25.3636363636364,NA,0.723404255319149,0.127659574468085,0,0.454545454545455,546.41,2.4,9.3,16.2,67.976,-2.84,3.64,10.1,82.8866666666667,11.1,17.7666666666667,24.4333333333333,36,18.4,13.4,493.5,0.650390640876698,2,2.81818181818182,0.544115053088739,2,4.27272727272727,0.572713235294118,3.12121632884079,0,0,0,0,0,3.12121632884079,0,0,0,0,3.12121632884079,857,0.531272652381643,3,0.483585208231855,0,0.842473745624271,0,0,0.110851808634772,0.0466744457409568
